SA2_MAINCODE_2016,GCCSA_NAME_2016,SA2_NAME_2016,STATE_NAME_2016,ADRESS,LAT,LNG
305031124,Greater Brisbane,Hamilton (Qld),Queensland,"Hamilton (Qld), Queensland",-27.436416,153.0709771
305031125,Greater Brisbane,Hendra,Queensland,"Hendra, Queensland",-27.4192349,153.0736864
305031126,Greater Brisbane,Kelvin Grove - Herston,Queensland,"Kelvin Grove - Herston, Queensland",-27.4481676,153.0247958
305031127,Greater Brisbane,Newmarket,Queensland,"Newmarket, Queensland",-27.4369317,153.0069501
305031128,Greater Brisbane,Newstead - Bowen Hills,Queensland,"Newstead - Bowen Hills, Queensland",-27.4483973,153.0439282
305031129,Greater Brisbane,Wilston,Queensland,"Wilston, Queensland",-27.4360559,153.0170216
305031130,Greater Brisbane,Windsor,Queensland,"Windsor, Queensland",-27.4326765,153.0320137
305031131,Greater Brisbane,Wooloowin - Lutwyche,Queensland,"Wooloowin - Lutwyche, Queensland",-27.4201884,153.0430571
305041132,Greater Brisbane,Ashgrove,Queensland,"Ashgrove, Queensland",-27.4455875,152.9922137
305041133,Greater Brisbane,Auchenflower,Queensland,"Auchenflower, Queensland",-27.4755182,152.9934343
305041134,Greater Brisbane,Bardon,Queensland,"Bardon, Queensland",-27.4579508,152.9858218
305041135,Greater Brisbane,Paddington - Milton,Queensland,"Paddington - Milton, Queensland",-27.4692068,153.0038587
305041136,Greater Brisbane,Red Hill (Qld),Queensland,"Red Hill (Qld), Queensland",-27.4525313,153.0044563
305041137,Greater Brisbane,Toowong,Queensland,"Toowong, Queensland",-27.4842895,152.9837482
310011271,Greater Brisbane,Darra - Sumner,Queensland,"Darra - Sumner, Queensland",-27.5636491,152.9363121
310011272,Greater Brisbane,Durack,Queensland,"Durack, Queensland",-27.5882131,152.9852619
310011273,Greater Brisbane,Forest Lake - Doolandella,Queensland,"Forest Lake - Doolandella, Queensland",-27.6130263,152.9866773
310011274,Greater Brisbane,Inala - Richlands,Queensland,"Inala - Richlands, Queensland",-27.5822777,152.9575743
310011275,Greater Brisbane,Oxley (Qld),Queensland,"Oxley (Qld), Queensland",-27.553142,152.9738944
310011276,Greater Brisbane,Wacol,Queensland,"Wacol, Queensland",-27.588756,152.9254168
310021277,Greater Brisbane,Boonah,Queensland,"Boonah, Queensland",-27.9988823,152.6819874
310021278,Greater Brisbane,Esk,Queensland,"Esk, Queensland",-27.2397738,152.4215098
310021279,Greater Brisbane,Lake Manchester - England Creek,Queensland,"Lake Manchester - England Creek, Queensland",-27.4785775,152.7661934
310021280,Greater Brisbane,Lockyer Valley - East,Queensland,"Lockyer Valley - East, Queensland",-27.6278414,152.1688572
310021281,Greater Brisbane,Lowood,Queensland,"Lowood, Queensland",-27.466271,152.5769218
310021282,Greater Brisbane,Rosewood,Queensland,"Rosewood, Queensland",-27.6341043,152.5899592
310031283,Greater Brisbane,Brassall,Queensland,"Brassall, Queensland",-27.5887681,152.7362081
310031284,Greater Brisbane,Bundamba,Queensland,"Bundamba, Queensland",-27.6035857,152.8095691
310031285,Greater Brisbane,Churchill - Yamanto,Queensland,"Churchill - Yamanto, Queensland",-27.6425788,152.7504168
310031286,Greater Brisbane,Ipswich - Central,Queensland,"Ipswich - Central, Queensland",-27.614614,152.7608421
310031287,Greater Brisbane,Ipswich - East,Queensland,"Ipswich - East, Queensland",-27.6067967,152.7754885
310031288,Greater Brisbane,Ipswich - North,Queensland,"Ipswich - North, Queensland",-27.6076201,152.7624139
310031289,Greater Brisbane,Karalee - Barellan Point,Queensland,"Karalee - Barellan Point, Queensland",-27.5704909,152.8416638
310031290,Greater Brisbane,Karana Downs,Queensland,"Karana Downs, Queensland",-27.5472004,152.8234067
310031291,Greater Brisbane,Leichhardt - One Mile,Queensland,"Leichhardt - One Mile, Queensland",-27.630745,152.738688
310031292,Greater Brisbane,North Ipswich - Tivoli,Queensland,"North Ipswich - Tivoli, Queensland",-27.5931239,152.7712082
310031293,Greater Brisbane,Raceview,Queensland,"Raceview, Queensland",-27.6350654,152.7746908
